Arquivo,Descrição
sys/shell/shell.c,3 
sys/auto_init,5 
sys/auto_init/auto_init.c,3 
sys/ps,4 
sys/ps/ps.c,3 
sys/timex,2 
sys/newlib,2 
sys/newlib/syscalls.c,2 
sys/uart_stdio,1 
sys/uart_stdio/uart_stdio.c,1 
sys/xtimer,3 
sys/xtimer/xtimer_core.c,2 
sys/net/gnrc/link_layer/netdev2,1 
sys/xtimer/xtimer.c,2 
sys/fmt,1 
sys/fmt/fmt.c,1 
sys/random,4 
sys/riotboot,4 
sys/riotboot/slot.c,1 
sys/ztimer,1 
sys/ztimer/auto_init.c,1 
sys/suit,5 
sys/ztimer/core.c,1 
core/kernel_init.c,1 
core/msg.c,1 
core/thread.c,1 
core/mutex.c,3 
core/sched.c,3 
core/panic.c,2 
core/atomic_c11.c,1 
core/lib,2 
cpu/mc1322x,3 
cpu/lpc1768,6 
cpu/cortexm_common,5 
cpu/cortexm_common/thread_arch.c,2 
cpu/x86,4 
cpu/stm32f3,2 
cpu/atmega2560,3 
cpu/atmega_common,3 
cpu/atmega_common/thread_arch.c,2 
cpu/arm7_common,5 
cpu/arm7_common/bootloader.c,1 
cpu/stm32f3/periph,2 
cpu/stm32f3/periph/spi.c,1 
cpu/kinetis_common,4 
cpu/saml21,3 
cpu/msp430fxyz,3 
cpu/lpc11u34,2 
cpu/kinetis_common/periph,3 
cpu/stm32_common,5 
cpu/stm32_common/periph,4 
cpu/nrf52/vectors.c,1 
drivers/encx24j600,1 
drivers/encx24j600/encx24j600.c,1 
drivers/ethos,1 
drivers/ethos/ethos.c,1 
tests/unittests/tests-core,3 
tests/unittests/tests-core/tests-core-clist.c,1 
tests/periph_gpio,1 
tests/periph_gpio/main.c,1 
tests/sizeof_tcb,1 
tests/sizeof_tcb/main.c,1 
sys/net/sixlowpan,6 
sys/net/sixlowpan/sixlowmac.c,1 
sys/net/sixlowpan/sixlowpan.c,2 
sys/net/sixlowpan/sixlownd.c,2 
sys/net/sixlowpan/sixlowip.c,3 
sys/lib,3 
sys/shell,4 
sys/transceiver.c,1 
sys/vtimer.c,1 
sys/transceiver,2 
sys/vtimer,4 
sys/lib/hashtable.c,1 
core/oneway_malloc.c,1 
cpu/arm_common,3 
cpu/arm_common/arm_cpu.c,1 
cpu/arm_common/syscalls.c,2 
cpu/lpc2387,5 
cpu/msp430-common,4 
cpu/cc430,2 
cpu/cc430/cc430-gpioint.c,1 
drivers/cc110x,4 
drivers/cc110x/cc1100_phy.c,2 
drivers/cc110x_ng,3 
drivers/cc110x_ng/cc110x-rx.c,2 
drivers/cc110x/cc1100.c,1 
drivers/ltc4150,1 
drivers/sht11,1 
msba2-common/drivers,1 
chronos/drivers,1 
sys/net/sixlowpan/bordermultiplex.c,1 
sys/net,5 
sys/net/destiny,3 
sys/net/destiny/destiny.c,2 
sys/net/destiny/socket.c,1 
sys/net/destiny/udp.c,2 
sys/net/destiny/tcp.c,1 
sys/net/destiny/tcp_timer.c,1 
sys/net/destiny/tcp_hc.c,2 
sys/net/sixlowpan/rpl,2 
sys/net/sixlowpan/rpl/rpl.c,1 
sys/shell/commands,4 
sys/net/link_layer,7 
sys/net/gnrc,5 
sys/net/gnrc/application_layer,4 
sys/net/gnrc/netif,3 
sys/net/gnrc/network_layer,5 
sys/net/gnrc/network_layer/ipv6,4 
sys/net/gnrc/routing,3 
sys/auto_init/saul,2 
sys/bitfield,1 
sys/bitfield/bitfield.c,1 
sys/net/gnrc/sock,3 
sys/net/gnrc/sock/udp,2 
sys/net/gnrc/sock/udp/gnrc_sock_udp.c,2 
sys/net/application_layer,5 
sys/fs,2 
sys/fs/constfs,1 
sys/fs/constfs/constfs.c,1 
sys/shell/commands/sc_vfs.c,1 
sys/net/gnrc/network_layer/ipv6/nib,2 
sys/net/application_layer/gcoap,3 
sys/net/application_layer/gcoap/gcoap.c,3 
sys/net/gnrc/network_layer/ipv6/nib/_nib-router.c,2 
sys/shell/commands/sc_gnrc_netif.c,1 
sys/vfs,2 
sys/vfs/vfs.c,2 
sys/net/application_layer/nanocoap,2 
sys/net/application_layer/nanocoap/nanocoap.c,2 
sys/net/application_layer/nanocoap/sock.c,1 
sys/net/sock,3 
sys/net/sock/sock_util.c,2 
sys/shell/commands/sc_gnrc_icmpv6_echo.c,1 
sys/net/gnrc/netif/init_devs,2 
sys/net/gnrc/application_layer/dhcpv6,1 
sys/suit/transport,2 
sys/suit/transport/coap.c,2 
sys/suit/handlers_command_seq.c,2 
sys/picolibc_syscalls_default,1 
sys/picolibc_syscalls_default/syscalls.c,1 
core/lib/init.c,1 
cpu/lpc2387/periph,2 
cpu/samd21,3 
cpu/lpc2387/periph/rtc.c,1 
cpu/samd21/cpu.c,1 
cpu/saml21/cpu.c,1 
cpu/cortexm_common/vectors_cortexm.c,2 
cpu/lpc2387/periph/timer.c,1 
cpu/atmega_common/periph,3 
cpu/nrf52,5 
cpu/sam0_common,1 
cpu/sam0_common/periph,3 
cpu/sam0_common/periph/i2c.c,1 
cpu/sam0_common/periph/spi.c,1 
cpu/sam0_common/periph/adc.c,1 
cpu/sam0_common/periph/flashpage.c,1 
cpu/sam0_common/periph/uart.c,1 
cpu/sam0_common/periph/gpio.c,1 
cpu/native/socket_zep,1 
cpu/native/socket_zep/socket_zep.c,1 
cpu/saml1x,1 
cpu/saml1x/cpu.c,1 
cpu/sam0_common/periph/timer.c,1 
cpu/samd5x,1 
cpu/samd5x/cpu.c,1 
cpu/lpc23xx,3 
cpu/sam0_common/periph/rtc_rtt.c,1 
drivers/periph_common,4 
drivers/saul,2 
drivers/mrf24j40,3 
drivers/mrf24j40/mrf24j40_getset.c,2 
drivers/mtd_spi_nor,1 
drivers/mtd_spi_nor/mtd_spi_nor.c,1 
drivers/mtd,2 
drivers/mtd/mtd.c,1 
drivers/periph_common/init.c,1 
drivers/slipdev,2 
drivers/slipdev/slipdev.c,2 
drivers/at,4 
drivers/mtd_sdcard,1 
drivers/mtd_sdcard/mtd_sdcard.c,1 
drivers/lis2dh12,1 
drivers/lis2dh12/lis2dh12.c,1 
drivers/sht3x,1 
drivers/mtd_flashpage,1 
drivers/mtd_flashpage/mtd_flashpage.c,1 
drivers/dose,1 
drivers/dose/dose.c,1 
drivers/saul/init_devs,2 
drivers/mtd_mapper,1 
drivers/mtd_mapper/mtd_mapper.c,1 
drivers/at86rf215,1 
drivers/at86rf215/at86rf215_netdev.c,1 
drivers/at86rf215/at86rf215.c,1 
drivers/at25xxx,1 
drivers/atwinc15x0,2 
drivers/atwinc15x0/atwinc15x0_netdev.c,1 
dist/tools,2 
boards/msba2/board_init.c,1 
boards/native,4 
boards/native/board_init.c,2 
boards/common,2 
boards/common/atmega,1 
boards/common/atmega/board.c,1 
boards/samr34-xpro,1 
boards/samr34-xpro/board.c,1 
boards/pinetime,1 
boards/pinetime/board.c,1 
tests/thread_msg,1 
tests/driver_at86rf2xx,3 
tests/periph_rtc,1 
tests/periph_rtc/main.c,1 
tests/periph_uart,4 
tests/periph_uart/main.c,2 
tests/unittests/tests-vfs,2 
tests/pkg_fatfs,1 
tests/pkg_fatfs_vfs,1 
tests/pkg_fatfs_vfs/main.c,1 
tests/driver_at,5 
tests/mtd_flashpage,1 
tests/mtd_flashpage/main.c,1 
examples/nanocoap_server,1 
examples/nanocoap_server/coap_handler.c,1 
