Arquivo,Descrição
arch/arm,14 
arch/arm/src,14 
arch/arm/src/dm320,3 
arch/arm/src/dm320/dm320_decodeirq.c,2 
arch/arm/src/lpc214x,2 
arch/arm/src/lpc214x/lpc214x_decodeirq.c,1 
arch/arm/src/lpc214x/lpc214x_irq.c,2 
arch/arm/src/lpc214x/lpc214x_serial.c,2 
arch/arm/src/lpc214x/lpc214x_timerisr.c,2 
arch/sim,8 
arch/sim/src,8 
arch/sim/src/up_initialize.c,2 
arch/arm/src/c5471,3 
arch/arm/src/c5471/c5471_watchdog.c,2 
arch/arm/src/common,4 
arch/arm/src/c5471/c5471_serial.c,2 
arch/arm/src/common/up_exit.c,2 
arch/arm/src/dm320/dm320_serial.c,2 
arch/z80,5 
arch/z80/src,5 
arch/z80/src/common,5 
arch/z80/src/common/up_releasestack.c,2 
arch/z16,4 
arch/z16/src,4 
arch/z16/src/z16f,2 
arch/z16/src/z16f/z16f_clkinit.c,2 
arch/z16/src/z16f/z16f_irq.c,2 
arch/z16/src/z16f/z16f_serial.c,2 
arch/z16/src/common,4 
arch/z16/src/z16f/z16f_sysexec.c,2 
arch/z80/src/z80,3 
arch/z80/src/z80/z80_initialstate.c,3 
arch/z80/src/z80/z80_irq.c,1 
arch/z80/src/z80/z80_copystate.c,2 
arch/z80/src/z80/z80_registerdump.c,2 
arch/z80/src/z8,3 
arch/z80/src/z8/z8_initialstate.c,2 
arch/z80/src/z8/z8_registerdump.c,2 
arch/z80/src/z80/z80_schedulesigaction.c,2 
arch/z80/src/z8/z8_irq.c,2 
arch/z80/src/z8/z8_schedulesigaction.c,2 
arch/z80/src/z8/z8_serial.c,2 
arch/z80/src/ez80,3 
arch/z80/src/ez80/ez80_initialstate.c,2 
arch/z80/src/ez80/ez80_serial.c,2 
arch/z80/src/ez80/ez80_irq.c,2 
arch/arm/src/lpc214x/lpc214x_usbdev.c,1 
arch/arm/src/dm320/dm320_usbdev.c,2 
arch/arm/src/str71x,2 
arch/arm/src/str71x/str71x_prccu.c,1 
arch/arm/src/str71x/str71x_decodeirq.c,2 
arch/arm/src/str71x/str71x_irq.c,1 
arch/arm/src/str71x/str71x_lowputc.c,1 
arch/arm/src/str71x/str71x_serial.c,2 
arch/arm/src/str71x/str71x_timerisr.c,2 
arch/arm/src/dm320/dm320_framebuffer.c,2 
arch/z80/src/ez80/ez80_schedulesigaction.c,2 
arch/arm/src/c5471/c5471_irq.c,3 
arch/arm/src/dm320/dm320_boot.c,2 
arch/arm/src/dm320/dm320_irq.c,3 
arch/arm/src/stm32,12 
arch/arm/src/stm32/stm32_lowputc.c,1 
arch/arm/src/stm32/stm32_serial.c,2 
arch/arm/src/stm32/stm32_timerisr.c,2 
arch/arm/src/stm32/stm32_start.c,2 
arch/arm/src/stm32/stm32_gpio.c,1 
arch/arm/src/stm32/stm32_rcc.c,1 
arch/arm/src/stm32/stm32_spi.c,2 
arch/arm/src/stm32/stm32_dma.c,1 
arch/arm/src/arm,6 
arch/arm/src/stm32/stm32_usbdev.c,1 
arch/arm/src/stm32/stm32_sdio.c,1 
arch/hc,4 
arch/hc/src,4 
arch/hc/src/common,4 
arch/hc/src/common/up_usestack.c,1 
arch/hc/src/common/up_createstack.c,2 
arch/hc/src/common/up_idle.c,1 
arch/hc/src/common/up_interruptcontext.c,1 
arch/hc/src/common/up_modifyreg16.c,1 
arch/hc/src/common/up_modifyreg32.c,1 
arch/hc/src/common/up_modifyreg8.c,1 
arch/hc/src/common/up_releasestack.c,1 
arch/z80/src/z80/z80_io.c,1 
arch/hc/src/common/up_udelay.c,1 
arch/arm/src/dm320/dm320_allocateheap.c,2 
arch/arm/src/lpc2378,3 
arch/arm/src/lpc2378/lpc23xx_decodeirq.c,2 
arch/arm/src/str71x/str71x_xti.c,2 
arch/arm/src/lpc17xx,3 
arch/arm/src/lpc17xx/lpc17_serial.c,2 
arch/arm/src/lpc17xx/lpc17_usbdev.c,1 
arch/arm/src/lpc17xx/lpc17_irq.c,2 
arch/avr,4 
arch/avr/src,4 
arch/avr/src/avr32,4 
arch/avr/src/avr32/up_schedulesigaction.c,2 
arch/avr/src/avr32/up_sigdeliver.c,2 
arch/avr/src/avr32/up_initialstate.c,3 
arch/avr/src/at32uc3,3 
arch/avr/src/at32uc3/at32uc3_clkinit.c,3 
arch/avr/src/at32uc3/at32uc3_gpio.c,2 
arch/avr/src/at32uc3/at32uc3_lowconsole.c,2 
arch/avr/src/at32uc3/at32uc3_timerisr.c,2 
arch/avr/src/common,4 
arch/avr/src/common/up_allocateheap.c,2 
arch/hc/src/m9s12,4 
arch/hc/src/m9s12/m9s12_serial.c,3 
arch/hc/src/m9s12/m9s12_irq.c,2 
arch/hc/src/common/up_doirq.c,2 
arch/hc/src/m9s12/m9s12_initialstate.c,2 
arch/hc/src/m9s12/m9s12_dumpgpio.c,2 
arch/hc/src/m9s12/m9s12_gpio.c,2 
arch/hc/src/m9s12/m9s12_gpioirq.c,3 
arch/x86,8 
arch/x86/src,4 
arch/x86/src/qemu,3 
arch/x86/src/qemu/qemu_lowputc.c,3 
arch/x86/src/qemu/qemu_lowsetup.c,1 
arch/x86/src/i486,4 
arch/x86/src/i486/up_initialstate.c,2 
arch/x86/src/i486/up_schedulesigaction.c,2 
arch/x86/src/qemu/qemu_timerisr.c,3 
arch/x86/src/common,4 
arch/x86/src/qemu/qemu_handlers.c,2 
arch/x86/src/qemu/qemu_serial.c,2 
arch/x86/src/i486/up_irq.c,2 
arch/x86/src/i486/up_regdump.c,2 
arch/arm/src/stm32/stm32_i2c.c,2 
arch/arm/src/stm32/stm32_waste.c,1 
arch/arm/src/stm32/stm32_rtc.c,1 
arch/arm/src/stm32/stm32_flash.c,2 
arch/mips,4 
arch/mips/src,4 
arch/mips/src/mips32,4 
arch/mips/src/mips32/up_initialstate.c,2 
arch/mips/src/pic32mx,3 
arch/mips/src/pic32mx/pic32mx-irq.c,1 
arch/mips/src/common,4 
arch/mips/src/pic32mx/pic32mx-lowinit.c,1 
arch/mips/src/pic32mx/pic32mx-serial.c,2 
arch/mips/src/pic32mx/pic32mx-timerisr.c,2 
arch/mips/src/mips32/up_swint0.c,2 
arch/arm/src/lpc31xx,2 
arch/arm/src/lpc31xx/lpc31_allocateheap.c,2 
arch/arm/src/lpc31xx/lpc31_bcrndx.c,1 
arch/arm/src/lpc31xx/lpc31_boot.c,2 
arch/arm/src/lpc31xx/lpc31_clkdomain.c,1 
arch/arm/src/lpc31xx/lpc31_clkexten.c,1 
arch/arm/src/lpc31xx/lpc31_clkfreq.c,1 
arch/arm/src/lpc31xx/lpc31_esrndx.c,2 
arch/arm/src/lpc31xx/lpc31_fdcndx.c,1 
arch/arm/src/lpc31xx/lpc31_fdivinit.c,1 
arch/arm/src/lpc31xx/lpc31_pllconfig.c,3 
arch/arm/src/lpc31xx/lpc31_resetclks.c,1 
arch/arm/src/lpc31xx/lpc31_setfdiv.c,1 
arch/arm/src/lpc31xx/lpc31_setfreqin.c,1 
arch/arm/src/lpc31xx/lpc31_softreset.c,2 
arch/arm/src/lpc31xx/lpc31_usbdev.c,2 
arch/avr/src/avr,4 
arch/avr/src/avr/up_schedulesigaction.c,2 
arch/avr/src/avr32/up_usestack.c,3 
arch/avr/src/at90usb,2 
arch/avr/src/atmega,3 
arch/avr/src/at90usb/at90usb_lowconsole.c,2 
arch/avr/src/at90usb/at90usb_serial.c,2 
arch/avr/src/atmega/atmega_lowconsole.c,1 
arch/avr/src/atmega/atmega_serial.c,3 
arch/avr/src/at90usb/at90usb_lowinit.c,2 
arch/avr/src/atmega/atmega_lowinit.c,2 
arch/avr/src/avr/up_createstack.c,2 
arch/avr/src/avr/up_usestack.c,3 
arch/avr/src/at90usb/at90usb_usbdev.c,2 
arch/arm/src/lpc17xx/lpc17_can.c,1 
arch/arm/src/armv7-m,5 
arch/arm/src/armv7-m/up_blocktask.c,2 
arch/arm/src/armv7-m/up_mpu.c,2 
arch/arm/src/armv7-m/up_svcall.c,2 
arch/arm/src/kinetis,3 
arch/arm/src/kinetis/kinetis_lowputc.c,2 
arch/arm/src/kinetis/kinetis_pin.c,2 
arch/arm/src/stm32/stm32f10xxx_rcc.c,1 
arch/arm/src/stm32/stm32f40xxx_rcc.c,2 
arch/arm/src/stm32/stm32_allocateheap.c,2 
arch/arm/src/stm32/stm32_adc.c,2 
arch/arm/src/stm32/stm32_pwm.c,2 
arch/mips/src/pic32mx/pic32mx-usbdev.c,1 
arch/arm/src/stm32/stm32_qencoder.c,2 
arch/arm/src/stm32/stm32f40xxx_dma.c,2 
arch/arm/src/stm32/stm32f20xxx_rcc.c,2 
arch/arm/src/stm32/stm32_pmstandby.c,1 
arch/arm/src/stm32/stm32_pmstop.c,1 
arch/arm/src/stm32/stm32_otgfsdev.c,1 
arch/arm/src/lpc43xx,3 
arch/arm/src/lpc43xx/lpc43_cgu.c,3 
arch/arm/src/lpc43xx/lpc43_gpio.c,2 
arch/arm/src/lpc43xx/lpc43_pinconfig.c,2 
arch/avr/src/common/up_releasestack.c,2 
arch/hc/src/common/up_allocateheap.c,2 
arch/hc/src/common/up_mdelay.c,1 
arch/x86/src/common/up_allocateheap.c,2 
arch/x86/src/i486/up_releasestack.c,2 
arch/x86/src/i486/up_usestack.c,2 
arch/arm/src/common/up_vfork.c,2 
arch/arm/src/nuc1xx,3 
arch/arm/src/nuc1xx/nuc_start.c,2 
arch/arm/src/nuc1xx/nuc_lowputc.c,2 
arch/arm/src/armv6-m,5 
arch/arm/src/armv6-m/up_svcall.c,2 
arch/avr/src/avr/up_stackframe.c,2 
arch/avr/src/avr32/up_stackframe.c,2 
arch/hc/src/common/up_stackframe.c,2 
arch/x86/src/i486/up_stackframe.c,3 
arch/mips/src/pic32mz,4 
arch/arm/src/stm32l4,4 
arch/risc-v,8 
arch/risc-v/src,8 
arch/arm/src/stm32f0,4 
arch/arm/src/stm32l4/stm32l4_sai.c,3 
arch/arm/src/stm32h7,9 
arch/arm/src/stm32h7/stm32_spi.c,4 
arch/risc-v/src/common,8 
arch/risc-v/src/common/riscv_pthread_start.c,2 
mm/mm_gran,3 
tools/mkconfig.c,2 
tools/mksyscall.c,3 
tools/bdf-converter.c,1 
tools/cfgparser.c,2 
sched/pthread,3 
sched/group,4 
sched/irq,4 
sched/clock,4 
