Arquivo,Descrição
core/net,6 
core/net/tcpip.c,1 
core/dev,5 
core/dev/cc2420.c,2 
core/net/uip.c,2 
core/net/uip_arp.c,1 
core/cfs,4 
core/sys,3 
core/sys/process.c,1 
core/loader,4 
core/sys/mt.c,1 
core/dev/leds.c,1 
core/loader/elfloader.c,1 
core/net/rime,2 
core/net/rime/neighbor.c,1 
core/net/rime/rime.c,1 
core/net/rime/mesh.c,1 
core/dev/simple-cc2420.c,1 
core/net/rime/route.c,1 
core/net/rime/route-discovery.c,1 
core/net/uip-over-mesh.c,1 
core/net/rime/rudolph0.c,1 
core/net/mac,5 
core/net/mac/xmac.c,1 
core/net/mac/nullmac.c,1 
core/sys/timer.c,1 
core/net/rime/ipolite.c,1 
core/net/rime/polite.c,1 
core/net/rime/collect.c,1 
core/net/rime/neighbor-discovery.c,1 
core/net/rime/timesynch.c,1 
core/net/mac/cxmac.c,1 
core/net/mac/lpp.c,1 
core/net/rime/stunicast.c,1 
core/net/rime/runicast.c,1 
core/net/rime/multihop.c,1 
core/net/sicslowpan.c,3 
core/net/uip6.c,3 
core/net/rime/polite-announcement.c,1 
core/net/mac/framer-802154.c,2 
core/net/mac/csma.c,1 
core/net/mac/contikimac.c,1 
core/net/mac/phase.c,1 
core/net/rime/collect-link-estimate.c,1 
core/net/mac/contikimac,2 
apps/shell,2 
apps/shell/shell.c,1 
apps/shell/shell-rime.c,1 
apps/shell/shell-time.c,1 
apps/shell/shell-text.c,1 
apps/shell/shell-rime-ping.c,1 
apps/shell/shell-sky.c,1 
apps/shell/shell-rime-netcmd.c,1 
apps/serial-shell,1 
apps/serial-shell/serial-shell.c,1 
apps/shell/shell-netperf.c,2 
apps/powertrace,1 
apps/powertrace/powertrace.c,1 
platform/native,3 
platform/native/contiki-main.c,1 
platform/sky,4 
platform/minimal-net,2 
platform/minimal-net/contiki-main.c,2 
platform/netsim,2 
platform/netsim/contiki-main.c,1 
platform/esb,3 
platform/esb/dev,3 
platform/esb/contiki-esb-main.c,2 
platform/esb/dev/tr1001-gcr.c,2 
platform/esb/apps,3 
platform/sky/contiki-sky-main.c,1 
platform/avr-raven/apps,3 
platform/avr-raven/apps/raven-webserver,2 
platform/micaz,7 
tools/wpcapslip,3 
examples/sky,2 
examples/sky/sky-collect.c,1 
examples/rime,3 
examples/rime/example-collect.c,1 
examples/sky-shell,3 
examples/sky-shell/sky-shell.c,1 
cpu/msp430,3 
cpu/msp430/clock.c,1 
cpu/native,4 
cpu/native/net,3 
cpu/msp430/rtimer-arch.c,1 
cpu/msp430/dev,3 
cpu/msp430/dev/uart1.c,1 
cpu/msp430/watchdog.c,1 
cpu/msp430/cc2420-arch.c,1 
core/net/mac/sicslowmac.c,1 
platform/esb/dev/tr1001.c,1 
core/net/uaodv.c,1 
core/lib,3 
platform/sky/dev,2 
tools/tunslip.c,1 
core/cfs/cfs-posix.c,1 
core/ctk,4 
core/ctk/ctk.c,1 
apps/dhcp,2 
apps/dhcp/dhcp.c,1 
apps/webserver,4 
apps/webserver/httpd-cgi.c,1 
apps/webserver/httpd.c,1 
apps/program-handler,1 
apps/program-handler/program-handler.c,1 
apps/email,3 
apps/ftp,2 
apps/ftp/ftp.c,1 
apps/irc,2 
apps/irc/irc.c,1 
apps/netconf,2 
apps/netconf/netconf.c,1 
apps/telnet,3 
apps/telnetd,3 
apps/telnetd/telnetd.c,2 
apps/webserver/httpd-cfs.c,1 
apps/email/email.c,1 
platform/win32,1 
platform/win32/contiki-main.c,1 
platform/apple2enh,1 
platform/apple2enh/contiki-main.c,1 
platform/c64,1 
platform/c64/contiki-main.c,1 
platform/c128,2 
platform/c128/contiki-main.c,2 
cpu/avr/dev,4 
cpu/native/net/wpcap.c,1 
cpu/6502,4 
cpu/6502/net,3 
cpu/6502/net/ethernet.c,2 
cpu/6502/lib,2 
cpu/6502/lib/config.c,1 
cpu/6502/dhcp,1 
cpu/6502/dhcp/dhcp-client.c,1 
platform/cooja,2 
platform/cooja/cfs,1 
platform/cooja/cfs/cfs-cooja.c,1 
platform/cooja/dev,3 
platform/cooja/dev/cooja-radio.c,1 
platform/cooja/net,1 
platform/cooja/net/radio-uip-uaodv.c,1 
platform/cooja/testapps,1 
platform/cooja/contiki-cooja-main.c,1 
cpu/arm,3 
cpu/arm/at91sam7s,2 
cpu/arm/common,1 
cpu/arm/common/usb,1 
core/net/uip-ds6.c,1 
core/cfs/cfs-coffee.c,1 
core/net/neighbor-info.c,1 
core/net/rpl,4 
core/net/rpl/rpl.c,3 
apps/shell/shell-file.c,1 
apps/deluge,1 
apps/deluge/deluge.c,1 
platform/msb430,1 
platform/msb430/dev,2 
platform/msb430/dev/cc1020.c,1 
platform/msb430/contiki-msb430-main.c,1 
apps/webbrowser,3 
apps/vnc,1 
platform/pc-6001,2 
platform/pc-6001/contiki-serial-main.c,1 
cpu/z80,1 
cpu/avr,3 
cpu/avr/radio,2 
platform/avr-ravenusb,1 
platform/avr-ravenusb/contiki-raven-main.c,1 
platform/avr-raven,1 
platform/avr-raven/contiki-raven-main.c,1 
platform/avr-ravenusb/sicslow_ethernet.c,1 
platform/avr-raven/apps/raven-lcd-interface,2 
platform/avr-raven/apps/raven-lcd-interface/raven-lcd.c,2 
platform/avr-raven/apps/raven-webserver/httpd-cgi.c,1 
platform/avr-raven/apps/raven-webserver/httpd-fs.c,1 
platform/avr-zigbit,1 
platform/avr-zigbit/contiki-avr-zigbit-main.c,1 
platform/avr-ravenusb/httpd-simple-avr.c,1 
platform/avr-ravenusb/cdc_task.c,1 
cpu/avr/dev/clock.c,2 
cpu/avr/rtimer-arch.c,2 
cpu/avr/watchdog.c,1 
cpu/avr/radio/rf230bb,1 
cpu/avr/radio/rf230bb/rf230bb.c,1 
cpu/avr/radio/rf230bb/halbb.c,1 
