Arquivo,Descrição
kernel/microkernel,3 
kernel/microkernel/core,3 
kernel/nanokernel,4 
arch/arc,5 
arch/x86,4 
arch/x86/platforms,5 
lib/libc,7 
lib/libc/minimal,5 
lib/libc/minimal/source,5 
lib/libc/minimal/source/string,4 
lib/libc/minimal/source/stdlib,6 
lib/libc/minimal/source/stdlib/atoi.c,2 
lib/libc/minimal/source/string/strncasecmp.c,2 
kernel/microkernel/k_task.c,1 
kernel/microkernel/core/global.c,1 
kernel/microkernel/k_event.c,1 
kernel/microkernel/task_monitor.c,1 
kernel/microkernel/k_mempool.c,1 
kernel/microkernel/k_mbox.c,1 
kernel/microkernel/k_mutex.c,1 
kernel/microkernel/channel,2 
kernel/microkernel/channel/InitChan.c,1 
kernel/microkernel/k_timer.c,1 
kernel/microkernel/idle.c,1 
kernel/microkernel/k_irq.c,1 
kernel/microkernel/k_offload.c,1 
kernel/microkernel/k_nop.c,1 
kernel/nanokernel/compiler_stack_protect.c,1 
kernel/nanokernel/idle.c,1 
kernel/nanokernel/int_latency_bench.c,1 
kernel/nanokernel/nano_lifo.c,1 
kernel/nanokernel/nano_sema.c,1 
kernel/nanokernel/nano_stack.c,1 
kernel/nanokernel/nano_timer.c,1 
kernel/microkernel/ticker.c,2 
kernel/microkernel/cmdPkt.c,2 
kernel/microkernel/global.c,1 
kernel/nanokernel/ctors.c,1 
kernel/nanokernel/nano_context.c,1 
kernel/nanokernel/nano_fiber.c,1 
kernel/nanokernel/nano_fifo.c,1 
kernel/nanokernel/nano_init.c,1 
kernel/nanokernel/nano_sys_clock.c,1 
kernel/microkernel/k_pipe_get.c,1 
kernel/microkernel/k_pipe_put.c,1 
kernel/microkernel/k_pipe_xfer.c,1 
kernel/microkernel/k_pipe.c,1 
kernel/microkernel/k_pipe_buffer.c,1 
kernel/microkernel/k_pipe_util.c,1 
kernel/microkernel/k_fifo.c,1 
kernel/microkernel/k_mailbox.c,1 
kernel/microkernel/k_memory_map.c,1 
kernel/microkernel/k_memory_pool.c,3 
kernel/microkernel/k_semaphore.c,1 
kernel/microkernel/k_command_packet.c,1 
kernel/microkernel/k_idle.c,1 
kernel/microkernel/k_move_data.c,1 
kernel/microkernel/k_server.c,1 
kernel/microkernel/k_task_monitor.c,1 
kernel/microkernel/k_ticker.c,1 
kernel/microkernel/k_init.c,1 
kernel/nanokernel/device.c,1 
kernel/nanokernel/profiler.c,1 
kernel/nanokernel/event_logger.c,1 
kernel/nanokernel/nano_sleep.c,3 
kernel/nanokernel/kernel_event_logger.c,1 
kernel/unified,4 
kernel/unified/sem.c,2 
kernel/unified/mem_pool.c,2 
kernel/unified/work_q.c,2 
kernel/unified/idle.c,2 
kernel/unified/kernel_event_logger.c,2 
kernel/unified/mutex.c,2 
kernel/unified/mem_slab.c,1 
kernel/unified/alert.c,1 
kernel/alert.c,2 
kernel/atomic_c.c,1 
kernel/compiler_stack_protect.c,2 
kernel/device.c,1 
kernel/errno.c,1 
kernel/fifo.c,1 
kernel/idle.c,1 
kernel/init.c,1 
kernel/int_latency_bench.c,2 
kernel/mailbox.c,1 
kernel/mem_slab.c,1 
kernel/msg_q.c,1 
kernel/mutex.c,1 
kernel/pipes.c,1 
kernel/sched.c,1 
kernel/sem.c,1 
kernel/stack.c,1 
kernel/sys_clock.c,1 
kernel/system_work_q.c,1 
kernel/thread.c,1 
kernel/thread_abort.c,1 
kernel/timer.c,1 
kernel/work_q.c,1 
kernel/poll.c,1 
kernel/queue.c,1 
kernel/mempool.c,1 
kernel/userspace.c,2 
kernel/mem_domain.c,2 
kernel/userspace_handler.c,3 
kernel/smp.c,1 
kernel/timeout.c,1 
kernel/futex.c,1 
kernel/fatal.c,3 
kernel/kheap.c,2 
kernel/mmu.c,1 
kernel/xip.c,1 
kernel/condvar.c,2 
kernel/work.c,1 
kernel/paging,3 
kernel/paging/statistics.c,3 
kernel/usage.c,2 
kernel/banner.c,1 
kernel/events.c,2 
arch/arc/core,5 
arch/arc/core/context.c,1 
arch/arm,12 
arch/arm/core,11 
arch/arm/core/nanocontext.c,1 
arch/x86/core,5 
arch/x86/core/nanocontext.c,1 
arch/x86/core/nanofloat.c,1 
arch/x86/core/inthndlset.c,1 
arch/arm/core/irq_init.c,1 
arch/arm/core/task_abort.c,1 
arch/arm/fsl_frdm_k64f,2 
arch/arm/fsl_frdm_k64f/system.c,1 
arch/x86/generic_pc,1 
arch/x86/generic_pc/system.c,1 
arch/arm/timer,2 
arch/arm/timer/systick.c,1 
arch/x86/timer,1 
arch/x86/timer/hpet.c,1 
arch/arc/timer,1 
arch/arc/timer/arcv2_timer0.c,1 
arch/x86/timer/loApicTimer.c,1 
arch/x86/core/offsets,3 
arch/x86/core/offsets/offsets.c,1 
arch/arm/ti_lm3s6965,2 
arch/arm/ti_lm3s6965/system.c,1 
arch/x86/quark,1 
arch/x86/quark/system.c,1 
arch/arc/core/irq_manage.c,1 
arch/arm/core/irq_manage.c,1 
arch/x86/core/nanofatal.c,1 
arch/x86/core/gdt.c,1 
arch/x86/core/intconnect.c,1 
arch/arc/core/fatal.c,1 
arch/arc/core/fault.c,1 
arch/arm/core/nanofatal.c,2 
arch/x86/core/excconnect.c,1 
arch/arm/core/fault.c,3 
arch/arc/core/offsets,1 
